Index,Country,City,Hotel,Address,Popularity
483,US,Chicago,Holiday Inn Express & Suites Chicago - Hoffman Estates,"5235 Prairie Stone Pkwy, Hoffman Estates, Illinois",15
484,US,Chicago,Comfort Inn & Suites,"1555 E Fabyan Pkwy, Geneva, Illinois",181
485,US,Chicago,Delta Hotels by Marriott Chicago Willowbrook,"7800 South Kingery Highway, Willowbrook, DuPage County, Illinois",23
486,US,Chicago,The Publishing House Bed and Breakfast,"108 N May St, Chicago, Illinois",195
487,US,Chicago,Chicago Old Colony,"37 W van Buren St, Chicago, Illinois",17
488,US,Chicago,Inn at Water's Edge,"425 Fawell Blvd, Glen Ellyn, DuPage County, Illinois",192
489,US,Chicago,Union League Club of Chicago,"65 W Jackson Blvd, Chicago, Illinois",201
490,US,Chicago,Selina Chicago,"100 E Chestnut St, Chicago, Illinois",26
491,US,Chicago,Lexington Inn & Suites NW Chicago Elgin,"1585 Dundee Ave, Elgin, Illinois",41
492,US,Chicago,Kasa Chicago River North Apartments,"One Superior Place, Chicago, Illinois",43
493,US,Chicago,Fairfield Inn & Suites by Marriott Chicago O'Hare,"2350 Mannheim Rd, Des Plaines, Illinois",13
494,US,Chicago,The Chicago Parthenon Hostel,"310 S Halsted St, Chicago, Illinois",224
495,US,Chicago,CitizenM Chicago Downtown Hotel,"80 E Wacker Pl, Chicago, Illinois",42
496,US,Chicago,"The LaSalle Chicago, Autograph Collection","208 South Lasalle Street, Chicago, Illinois",21
497,US,Chicago,Comfort Inn Arlington Heights-O'Hare Airport,"2120 S Arlington Heights Rd, Arlington Heights, Illinois",170
498,US,Chicago,Magnolia Studios,"5705 N Magnolia Ave, Chicago, Illinois",201
499,US,Chicago,Kasa South Loop Chicago,"900 S Clark St, Chicago, Illinois",23
500,US,Chicago,The Study at University of Chicago,"1227 E 60th St, Chicago, Illinois",42
501,US,Chicago,Sonder South Wabash,"1419 S Wabash Ave, Chicago, Illinois",83
502,US,Chicago,Wingate by Wyndham Tinley Park,"18421 N Creek Dr, Tinley Park, Illinois",1257
503,US,Chicago,DoubleTree by Hilton Hotel Collinsville - St. Louis,"1000 Eastport Plaza Drive, Collinsville, Illinois",1294
504,US,Chicago,Four Winds Casino Resort,"11111 Wilson Rd, New Buffalo, Berrien County, Michigan",650
505,US,Chicago,HI Chicago Hostel,"24 E Ida B Wells Dr, Chicago, Illinois",40
506,US,Chicago,Heart O' Chicago Motel,"5990 N Ridge Ave, Chicago, Illinois",179
507,US,Chicago,Island House Hotel,"6966 Main Street, Mackinac Island, Mackinac County, Upper Peninsula, Michigan",2342
508,US,Chicago,Canopy by Hilton Chicago Central Loop,"226 West Jackson Blvd, Chicago, Illinois",72
509,US,Chicago,Homewood Suites by Hilton Chicago Downtown West Loop,"118 N Jefferson, Chicago, Illinois",131
510,US,Chicago,Hampton Inn Joliet - I-55,"3555 Mall Loop Drive, Joliet, Illinois",650
511,US,Chicago,Champagne Lodge and Luxury Suites,"16W621 S Frontage Rd, Willowbrook, DuPage County, Illinois",269
512,US,Chicago,Hampton Inn Bourbonnais Kankakee,"64 Ken Hayes Drive, Bourbonnais, Illinois",117
513,US,Chicago,Hilton Grand Vacations Club Chicago Magnificent Mile,"300 E Ohio Street, Chicago, Illinois",61
514,US,Chicago,Hilton Garden Inn Lake Forest Mettawa,"26225 North Riverwoods Boulevard, Lake Forest, Lake County, Illinois",934
515,US,Chicago,TownePlace Suites by Marriott Joliet South,"1515 Riverboat Center Dr, Joliet, Illinois",363
516,US,Chicago,MDA Chicago City Apartments,"63 E Lake St, Chicago, Illinois",26
517,US,Chicago,Chestnut Street Inn,"301 E Chestnut St, Sheffield, Illinois",234
518,US,Chicago,La Banque Hotel,"2034 Ridge Rd, Homewood, Illinois",91
519,US,Chicago,Sonesta Select Arlington Heights,"3700 North Wilke Road, Arlington Heights, Illinois",162
520,US,Chicago,Hilton Garden Inn Addison,"551 North Swift Road, Addison, DuPage County, Illinois",484
521,US,Chicago,Motel 6 Chicago Northwest Palatine,"1450 E Dundee Rd, Palatine, Illinois",27
522,US,Chicago,Hampton Inn & Suites Effingham,"1305 N Keller Dr, Effingham, Illinois",865
523,US,Chicago,Holiday Inn Chicago Downtown - Wolf Point,"350 W Wolf Point Plaza, Chicago, Illinois",13
524,US,Chicago,Sonder The Plymouth,"417 S Dearborn St, Chicago, Illinois",61
525,US,Chicago,Comfort Suites Lombard - Addison,"530 W North Ave, Lombard, DuPage County, Illinois",120
526,US,Chicago,Motel 6 Elk Grove Village,"1100 E Devon Ave, Elk Grove Village, Illinois",250
527,US,Chicago,Best Western Plus South Holland/Chicago Southland,"17345 Halsted St., South Holland, Illinois",15
528,US,Chicago,University Club of Chicago,"76 E Monroe St, Chicago, Illinois",96
529,US,Chicago,Hampton Inn Marion,"2710 West Deyoung, Marion, Illinois",581
530,US,Chicago,Four Points by Sheraton Chicago Schaumburg,"1100 East Higgins Road, Schaumburg, Illinois",21
531,US,Chicago,Best Western Plus The Arden Park Hotel,"552 Ontario St, Stratford, Ontario, Canada",1064
532,US,Chicago,Celeste Celebrity Suites,"68 E Cedar St, Chicago, Illinois",31
533,US,Chicago,Bishops Hall Bed & Breakfast,"605 Iowa St, Oak Park, Illinois",82
534,US,Chicago,Sentral Michigan Avenue,"808 S Michigan Ave, Chicago, Illinois",32
535,US,Chicago,Quality Inn & Suites Near I-80 And I-294,"16920 Halsted St, Harvey, Illinois",126
536,US,Chicago,Old Chicago Inn featuring Room 13,"3222 N Sheffield Ave, Chicago, Illinois",131
537,US,Chicago,Motel 6 Prospect Heights IL,"540 N Milwaukee Ave, Prospect Heights, Illinois",124
538,US,Chicago,Q Center,"1405 N 5th Ave, Saint Charles, Illinois",134
539,US,Chicago,Red Roof Inn Gurnee - Waukegan,"3031 Belvidere Rd, Waukegan, Lake County, Illinois",190
540,US,Chicago,Quality Inn,"500 Tollgate Rd, Elgin, Illinois",126
541,US,Chicago,Comfort Inn & Suites Tinley Park IL,"18400 Spring Creek Dr, Tinley Park, Illinois",152
542,US,Chicago,Comfort Inn & Suites,"1359 Grand Pointe Ct, Grand Blanc, Michigan",963
543,US,Chicago,Sonder at Grant Park,"808 S Michigan Ave, Chicago, Illinois",142
544,US,Chicago,Nobu Hotel Chicago,"155 N. Peoria Street, Chicago, Illinois",71
545,US,Chicago,Sleep Inn Naperville,"1831 W Diehl Rd, Naperville, DuPage County, Illinois",100
546,US,Chicago,"Motel 6 Lansing, IL - Chicago South","2151 Bernice Rd, Lansing, Illinois",15
547,US,Chicago,"Holiday Inn Express Crestwood, an IHG Hotel","13330 Cicero Avenue, Crestwood, Illinois",132
548,US,Chicago,Comfort Inn Bourbonnais near I-57,"1500 Illinois Highway 50, Bourbonnais, Illinois",167
549,US,Chicago,Fairfield Inn Kankakee Bourbonnais,"1550 N State Route 50, Bourbonnais, Illinois",127
550,US,Chicago,New Buffalo Inn & Spa,"231 E Buffalo St, New Buffalo, Berrien County, Michigan",110
551,US,Chicago,21c Museum Hotel Chicago,"55 E Ontario St, Chicago, Illinois",173
552,US,Chicago,Sleep Inn Oakbrook Terrace - Chicago,"17W710 22nd St, Oakbrook Terrace, DuPage County, Illinois",41
553,US,Chicago,Soho House Chicago,"113 N Green St # 125, Chicago, Illinois",136
554,US,Chicago,Manilow Suites at 215 West,"215 W Washington St, Chicago, Illinois",23
555,US,Chicago,The Flats at Loyola Station,"1216 W Arthur Ave, Chicago, Illinois",130
556,US,Chicago,Hilton Garden Inn Chicago Downtown South Loop,"55 E 11th Street, Chicago, Illinois",160
557,US,Chicago,The Chicago Hotel Collection: Magnificent Mile Hotel & Suites,"166 E Superior St, Chicago, Illinois",47
558,US,Chicago,Chicago Lake Shore Hotel,"4900 S Lake Shore Dr, Chicago, Illinois",172
559,US,Chicago,Lincoln Park Oasis,"1219 W Draper St, Chicago, Illinois",44
