Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
81,CA,Toronto,Sheraton Toronto Airport Hotel & Conference Centre,"801 Dixon Rd, Toronto, Ontario, Canada",1135,43.68678,-79.5877
82,CA,Toronto,Novotel Toronto North York,"3 Park Home Ave, Toronto, Ontario, Canada",1175,43.76871,-79.41434
83,CA,Toronto,Delta Hotels by Marriott Toronto East,"2035 Kennedy Rd, Toronto, Ontario, Canada",979,43.77708,-79.28266
84,CA,Toronto,The SoHo Hotel & Residences,"318 Wellington St W, Toronto, Ontario, Canada",1209,43.64481,-79.39223
85,CA,Toronto,Radisson Hotel Toronto East,"55 Hallcrown Pl, Toronto, Ontario, Canada",959,43.77009,-79.32298
86,CA,Toronto,TownePlace Suites by Marriott Mississauga-Airport Corporate Centre,"5050 Orbitor Drive, Mississauga, Ontario, Canada",891,43.65597,-79.60009
87,CA,Toronto,Sandman Signature Toronto Airport Hotel,"55 Reading Crt, Toronto, Ontario, Canada",1011,43.68996,-79.59029
88,CA,Toronto,Fairfield Inn & Suites Toronto Brampton,"150 Westcreek Blvd, Brampton, Ontario, Canada",365,43.67893,-79.70393
89,CA,Toronto,Courtyard by Marriott Toronto Brampton,"90 Biscayne Cres, Brampton, Ontario, Canada",333,43.6816,-79.7136
90,CA,Toronto,"Holiday Inn Express & Suites Toronto Airport West, an IHG Hotel","5599 Ambler Drive, Mississauga, Ontario, Canada",393,43.64593,-79.6392
91,CA,Toronto,Courtyard Toronto Mississauga/Meadowvale,"7015 Century Avenue, Mississauga, Ontario, Canada",332,43.60237,-79.75285
92,CA,Toronto,TownePlace Suites by Marriott Toronto Oakville,"754 Bronte Rd, Oakville, Ontario, Canada",233,43.40755,-79.73809
93,CA,Toronto,Sonesta ES Suites Toronto Markham,"355 South Park Road, Thornhill, Vaughan, Ontario, Canada",363,43.83799,-79.38785
94,CA,Toronto,Homewood Suites by Hilton Toronto Vaughan,"618 Applewood Cres, Vaughan, Ontario, Canada",930,43.79871,-79.53926
95,CA,Toronto,Monte Carlo Inn Toronto Markham,"8900 Woodbine Ave, Markham, Ontario, Canada",328,43.85877,-79.36117
96,CA,Toronto,"Holiday Inn Toronto International Airport, an IHG Hotel","970 Dixon Road, Toronto, Ontario, Canada",1020,43.68763,-79.60039
97,CA,Toronto,1 Hotel Toronto,"550 Wellington St W, Toronto, Ontario, Canada",397,43.64307,-79.40111
98,CA,Toronto,Residence Inn by Marriott Toronto Markham,"55 Minthorn Blvd, Markham, Ontario, Canada",251,43.84181,-79.37989
99,CA,Toronto,Delta Hotels by Marriott Toronto Markham,"50 East Valhalla Drive, Markham, Ontario, Canada",294,43.8473,-79.3648
100,CA,Toronto,Executive Residency By Best Western Toronto-Mississauga,"6791 Hurontario St, Mississauga, Ontario, Canada",199,43.64268,-79.70093
101,CA,Toronto,By The Park Bed and Breakfast,"92 Indian Grove, Toronto, Ontario, Canada",628,43.65414,-79.45859
102,CA,Toronto,Comfort Inn Toronto Northeast,"8330 Woodbine Ave, Markham, Ontario, Canada",273,43.84601,-79.35842
103,CA,Toronto,"Holiday Inn Express & Suites Toronto - Markham, an IHG Hotel","10 East Pearce Street, Richmond Hill, Ontario, Canada",290,43.84891,-79.38182
104,CA,Toronto,Best Western Plus Toronto North York Hotel & Suites,"50 Norfinch Dr, Toronto, Ontario, Canada",880,43.75697,-79.52862
105,CA,Toronto,Courtyard by Marriott Toronto Vaughan,"150 Interchange Way, Vaughan, Ontario, Canada",267,43.78743,-79.53508
106,CA,Toronto,Courtyard Toronto Northeast/Markham,"7095 Woodbine Avenue, Markham, Ontario, Canada",265,43.81676,-79.34809
107,CA,Toronto,Residence Inn by Marriott Toronto Vaughan,"11 Interchange Way, Vaughan, Ontario, Canada",309,43.7912,-79.5298
108,CA,Toronto,Courtyard by Marriott Toronto Markham,"65 Minthorn Boulevard, Markham, Ontario, Canada",270,43.8417,-79.38072
109,CA,Toronto,Home2 Suites by Hilton Toronto Brampton,"200 Steelwell Road, Brampton, Ontario, Canada",106,43.68722,-79.70835
110,CA,Toronto,Motel 6 Toronto Mississauga,"2935 Argentia Rd, Mississauga, Ontario, Canada",168,43.60015,-79.77731
111,CA,Toronto,Best Western Premier Toronto Airport Carlingview Hotel,"135 Carlingview Dr, Toronto, Ontario, Canada",618,43.67901,-79.59122
112,CA,Toronto,Hyatt Place Toronto/Mississauga Centre,"5787 Hurontario St, Mississauga, Ontario, Canada",158,43.62275,-79.67383
113,CA,Toronto,Fairfield Inn & Suites Toronto Mississauga,"35 Courtneypark Dr W, Mississauga, Ontario, Canada",233,43.63719,-79.69505
114,CA,Toronto,Homewood Suites by Hilton Toronto-Markham,"50 Bodrington Crt, Markham, Ontario, Canada",724,43.84331,-79.35443
115,CA,Toronto,Motel 6 Toronto East - Whitby,"165 Consumers Dr, Whitby, Ontario, Canada",202,43.86764,-78.93154
116,CA,Toronto,"Holiday Inn Express & Suites Mississauga-Toronto Southwest, an IHG Hotel","2125 North Sheridan Way, Mississauga, Ontario, Canada",199,43.52365,-79.65122
