Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
135,CA,Montreal,Days Inn by Wyndham Montreal East,"5905 Metropolitan Blvd. East, Montreal, Quebec, Canada",382,45.58815,-73.58474
136,CA,Montreal,Sonder at Penny Lane,"408 Saint Jacques Street, Montreal, Quebec, Canada",109,45.50158,-73.55962
137,CA,Montreal,Hotel Mortagne,"1228 Rue Nobel, Boucherville, Quebec, Canada",399,45.56881,-73.44268
138,CA,Montreal,La Conciergerie,"1019 Saint-Hubert St., Montreal, Quebec, Canada",142,45.51368,-73.55459
139,CA,Montreal,Samesun Montreal Central,"1586 rue St Hubert, Montreal, Quebec, Canada",390,45.51635,-73.56133
140,CA,Montreal,Sonder Maisonneuve,"1470 Rue Mackay, Montreal, Quebec, Canada",150,45.49648,-73.57849
141,CA,Montreal,University Bed & Breakfast Apartments,"623 Prince Arthur Street West, Montreal, Quebec, Canada",199,45.50804,-73.57829
142,CA,Montreal,Auberge des Gallant Restaurant and SPA,"1171, ch. St-Henri, Sainte-Marthe, Quebec, Canada",310,45.43198,-74.32802
143,CA,Montreal,Home2 Suites by Hilton Montreal Dorval,"1855 Rte Transcanadienne, Dorval, Quebec, Canada",121,45.48564,-73.78255
144,CA,Montreal,"Holiday Inn & Suites Montreal Centre-Ville Ouest, an IHG Hotel","1390 Boulevard Rene-Levesque Ouest, Montreal, Quebec, Canada",341,45.4959,-73.57284
145,CA,Montreal,Gite Ocoin B&B,"1930 due Dufresne, Montreal, Quebec, Canada",151,45.531,-73.55342
146,CA,Montreal,A l'Adresse du Centre-Ville,"1673 Saint Christophe Street, Montreal, Quebec, Canada",223,45.51745,-73.56165
147,CA,Montreal,Residence Inn by Marriott Montreal Airport,"6500 Place Robert-Joncas, Montreal, Quebec, Canada",324,45.49326,-73.69973
148,CA,Montreal,Hotel Le Saint Andre,"1285 rue St-Andre, Montreal, Quebec, Canada",366,45.51631,-73.55737
149,CA,Montreal,Super 8 by Wyndham Lachenaie/Terrebonne,"1155 Yves Blais, Terrebonne, Quebec, Canada",481,45.72492,-73.50376
150,CA,Montreal,Hotel Quartier des Spectacles,"17 Sainte-Catherine Ouest, Montreal, Quebec, Canada",436,45.50968,-73.56428
151,CA,Montreal,Montreal South KOA,"130 montee Monette, Saint-Philippe, Quebec, Canada",57,45.35019,-73.47922
152,CA,Montreal,Hampton Inn by Hilton Montreal Downtown,"985 Boul. St-Laurent, Montreal, Quebec, Canada",29,45.50791,-73.55889
153,CA,Montreal,Auberge Saint-Paul,"347 Saint Paul Est, Montreal, Quebec, Canada",167,45.50928,-73.55215
154,CA,Montreal,Auberge Saintlo Montreal,"1030 Mackay, Montreal, Quebec, Canada",459,45.49389,-73.57297
155,CA,Montreal,Hotel Chateau-Bromont,"90 Stanstead St, Bromont, Quebec, Canada",1068,45.30433,-72.63837
156,CA,Montreal,Loft Hotel Montreal,"334 Terrasse St Denis, Montreal, Quebec, Canada",319,45.51602,-73.56667
157,CA,Montreal,Courtyard Montreal West Island/Baie D’Urfe,"20000 Trans Canada Highway, Baie-D'Urfe, Quebec, Canada",146,45.41473,-73.91628
158,CA,Montreal,Alternative Hostel of Old Montreal,"358 Rue Saint-Pierre, Montreal, Quebec, Canada",235,45.50107,-73.55614
159,CA,Montreal,Hotel Dorval - Beausejour Apartments,"440, Roy Avenue, Dorval, Quebec, Canada",254,45.44697,-73.74899
160,CA,Montreal,Microtel Inn & Suites Casselman,"17 Rue Industriel, Casselman, Ontario, Canada",390,45.60954,-75.40468
161,CA,Montreal,Hotel Ambrose,"3422 rue Stanley, Montreal, Quebec, Canada",347,45.50138,-73.57831
162,CA,Montreal,"Holiday Inn Express St. Jean sur Richelieu, an IHG Hotel","700 Rue Gadbois Street, Saint-Jean-sur-Richelieu, Quebec, Canada",281,45.33227,-73.28557
163,CA,Montreal,Uville Hotel Montreal,"204 Place d'Youville, Montreal, Quebec, Canada",59,45.50225,-73.5544
164,CA,Montreal,Quality Hotel Dorval Aeroport,"7700 Cote de Liesse, Montreal, Quebec, Canada",460,45.47835,-73.70109
165,CA,Montreal,Habitation du Vieux Montreal,"401 Saint Laurent, Montreal, Quebec, Canada",80,45.50573,-73.55388
166,CA,Montreal,leQube Apartments Saint Hubert,"3990 rue Saint Hubert, Montreal, Quebec, Canada",76,45.52224,-73.57413
167,CA,Montreal,"Humaniti Hotel Montreal, Autograph Collection","340 de la Gauchetiere O, Montreal, Quebec, Canada",59,45.50393,-73.56289
168,CA,Montreal,"Holiday Inn Express & Suites Saint - Hyacinthe, an IHG Hotel","1500 Rue Daniel Johnson Street East, Saint Hyacinthe, Quebec, Canada",287,45.64738,-72.95361
169,CA,Montreal,Baymont by Wyndham Montreal Airport,"3660 Rue Griffith, Montreal, Quebec, Canada",123,45.48549,-73.69696
170,CA,Montreal,Auberge Manoir Ville-Marie,"3130 Rue Ste-Catherine East, Montreal, Quebec, Canada",289,45.53809,-73.5416
171,CA,Montreal,Hotel de L'Elysee,"1633, rue Saint-Hubert, Montreal, Quebec, Canada",57,45.51695,-73.56183
172,CA,Montreal,Delta Hotels by Marriott Sherbrooke Conference Center,"2685 Rue King Ouest, Sherbrooke, Quebec, Canada",337,45.39966,-71.93922
173,CA,Montreal,Auberge Casa de Mateo,"438 St Francois Xavier, Montreal, Quebec, Canada",83,45.50319,-73.5563
174,CA,Montreal,Le Simone,"1571 rue Saint-Andre, Montreal, Quebec, Canada",183,45.51736,-73.55985
175,CA,Montreal,Quality Inn & Suites Brossard,"6680 Taschereau Boulevard, Brossard, Quebec, Canada",233,45.46935,-73.46904
176,CA,Montreal,Courtyard Montreal Brossard,"3300 Rue De L'Eclipse, Brossard, Quebec, Canada",21,45.76246,-73.71599
177,CA,Montreal,Sonder Le Victoria,"411 Rue des Recollets, Montreal, Quebec, Canada",78,45.50132,-73.55875
178,CA,Montreal,Homewood Suites By Hilton Montreal Midtown,"6939 Decarie, Montreal, Quebec, Canada",25,45.49301,-73.64927
179,CA,Montreal,Auberge St. Jacques,"6120 Rue Saint-Jacques, Montreal, Quebec, Canada",150,45.46433,-73.61514
180,CA,Montreal,Anne Ma Soeur Anne,"4119 Rue Saint Denis, Montreal, Quebec, Canada",152,45.52146,-73.5769
181,CA,Montreal,Royal Versailles Hotel,"7200 Sherbrooke St. East, Montreal, Quebec, Canada",268,45.58868,-73.5387
182,CA,Montreal,Montreal West KOA,"171 Route 338, Coteau-du-Lac, Quebec, Canada",33,45.28141,-74.19239
183,CA,Montreal,Hotel Y Montreal,"1355, Rene-Levesque Blvd. West, Montreal, Quebec, Canada",262,45.51899,-73.55246
184,CA,Montreal,Destination Stays Montreal Downtown,"1444 Saint-Mathieu, Montreal, Quebec, Canada",28,45.49424,-73.58035
185,CA,Montreal,"Holiday Inn Montreal-Longueuil, an IHG Hotel","900 St Charles Street East, Longueuil, Quebec, Canada",11,45.55131,-73.49805
186,CA,Montreal,Motel Montreal,"95 aut. du Souvenir,, L'Ile-Perrot, Quebec, Canada",14,45.39696,-73.96068
187,CA,Montreal,Alacoque Bed & Breakfast Revolution,"2091 St. Urban Street, Montreal, Quebec, Canada",74,45.51081,-73.56896
188,CA,Montreal,Auberge L'Apero,"1425 Mackay, Montreal, Quebec, Canada",120,45.49624,-73.57752
189,CA,Montreal,Maison Sainte-Therese,"110 Rue Sainte-Therese, Montreal, Quebec, Canada",21,45.507,-73.55354
190,CA,Montreal,Quality Hotel & Suites Montreal East,"8100 Avenue Neuville, Montreal, Quebec, Canada",236,45.5988,-73.57272
191,CA,Montreal,Gite du Survenant Montreal,"2645 Avenue Desjardins, Montreal, Quebec, Canada",124,45.55428,-73.54996
