Index,Country,City,Hotel,Address,Popularity,Latitude,Longitude
338,US,Chicago,Extended Stay America Chicago - Schaumburg - Convention Center,"51 E State Pkwy, Schaumburg, Illinois",78,42.05487,-88.07812
339,US,Chicago,Hyatt Regency Lisle near Naperville,"1400 Corporetum Dr, Lisle, DuPage County, Illinois",1416,41.80693,-88.07843
340,US,Chicago,Hotel Arista,"2139 City Gate Ln, Naperville, DuPage County, Illinois",590,41.80852,-88.20213
341,US,Chicago,Courtyard by Marriott Chicago Midway Airport,"6610 South Cicero Avenue, Chicago, Illinois",244,41.77295,-87.74378
342,US,Chicago,Best Western Naperville Inn,"1617 Naperville Wheaton Rd, Naperville, DuPage County, Illinois",705,41.80032,-88.12006
343,US,Chicago,"Holiday Inn Express & Suites Chicago North-Waukegan-Gurnee, an IHG Hotel","611 Lakehurst Rd, Waukegan, Lake County, Illinois",179,42.33949,-87.89715
344,US,Chicago,"Crowne Plaza Chicago SW - Burr Ridge, An IHG Hotel","300 South Frontage Road, Burr Ridge, Illinois",66,41.75337,-87.92158
345,US,Chicago,Villa D'Citta,"2230 N Halsted St, Chicago, Illinois",443,41.92269,-87.64892
346,US,Chicago,"Country Inn & Suites by Radisson, Schaumburg, IL","1401 N Roselle Rd, Schaumburg, Illinois",927,42.05357,-88.07948
347,US,Chicago,Ramada by Wyndham Waukegan/Great Lakes,"200 N Green Bay Rd, Waukegan, Lake County, Illinois",1401,42.36251,-87.87701
348,US,Chicago,Extended Stay America - Chicago - Buffalo Grove - Deerfield,"1525 Busch Pkwy, Buffalo Grove, Lake County, Illinois",95,42.17027,-87.92354
349,US,Chicago,Goldmoor Inn,"9001 W Sand Hill Rd, Galena, Illinois",1003,42.33384,-90.39676
350,US,Chicago,DoubleTree by Hilton Lisle Naperville,"3003 Corporate West Drive, Lisle, DuPage County, Illinois",993,41.80821,-88.11015
351,US,Chicago,Goldberry Woods Bed & Breakfast Cottages,"9902 Community Hall Rd, Union Pier, Berrien County, Michigan",445,41.82051,-86.69352
352,US,Chicago,Red Roof Inn Chicago - Lansing,"2450 173rd St, Lansing, Illinois",503,41.58231,-87.55673
353,US,Chicago,Hyatt House Chicago/Naperville/Warrenville,"27554 Maecliff Drive, Warrenville, DuPage County, Illinois",660,41.81296,-88.16059
354,US,Chicago,"Holiday Inn Express & Suites Chicago North Shore - Niles, an IHG Hotel","7247 North Waukegan Road, Niles, Illinois",92,42.01302,-87.80172
355,US,Chicago,The Herrington Inn & Spa,"15 S River Ln, Geneva, Illinois",501,41.88646,-88.30357
356,US,Chicago,Extended Stay America - Chicago - Downers Grove,"3150 Finley Rd, Downers Grove, DuPage County, Illinois",112,41.8299,-88.02664
357,US,Chicago,Hampton Inn & Suites Bolingbrook,"165 Remington Blvd., Bolingbrook, DuPage County, Illinois",517,41.68451,-88.07138
