Index,Country,City,Hotel,Address,Popularity
183,CA,Montreal,Hotel Y Montreal,"1355, Rene-Levesque Blvd. West, Montreal, Quebec, Canada",262
184,CA,Montreal,Destination Stays Montreal Downtown,"1444 Saint-Mathieu, Montreal, Quebec, Canada",28
185,CA,Montreal,"Holiday Inn Montreal-Longueuil, an IHG Hotel","900 St Charles Street East, Longueuil, Quebec, Canada",11
186,CA,Montreal,Motel Montreal,"95 aut. du Souvenir,, L'Ile-Perrot, Quebec, Canada",14
187,CA,Montreal,Alacoque Bed & Breakfast Revolution,"2091 St. Urban Street, Montreal, Quebec, Canada",74
188,CA,Montreal,Auberge L'Apero,"1425 Mackay, Montreal, Quebec, Canada",120
189,CA,Montreal,Maison Sainte-Therese,"110 Rue Sainte-Therese, Montreal, Quebec, Canada",21
190,CA,Montreal,Quality Hotel & Suites Montreal East,"8100 Avenue Neuville, Montreal, Quebec, Canada",236
191,CA,Montreal,Gite du Survenant Montreal,"2645 Avenue Desjardins, Montreal, Quebec, Canada",124
192,CA,Montreal,"Hotel Montreal Metropolitan, BW Premier Collection","3400 Boul Cremazie E, Montreal, Quebec, Canada",79
193,CA,Montreal,Hotel Montreal Espace Confort,"2050 St-Denis, Montreal, Quebec, Canada",260
194,CA,Montreal,Plateau Suites Montreal,"832 Gilford Street, Montreal, Quebec, Canada",21
195,CA,Montreal,Homewood Suites by Hilton Montreal Downtown,"985 Boul. St-Laurent, Montreal, Quebec, Canada",32
196,CA,Montreal,Hilton Garden Inn Montreal Midtown,"6939 Decarie, Montreal, Quebec, Canada",48
197,CA,Montreal,Fairfield by Marriott Montreal Downtown,"1199 Rue Berri, Montreal, Quebec, Canada",133
198,CA,Montreal,Casa Bianca,"4351 L'Esplanade Avenue, Montreal, Quebec, Canada",110
199,CA,Montreal,Castel Durocher,"3488 Durocher, Montreal, Quebec, Canada",60
200,CA,Montreal,Hotel Park Avenue,"4544 Avenue du Parc, Montreal, Quebec, Canada",82
201,CA,Montreal,Sonder Le Guerin,"4501 Drolet Street, Montreal, Quebec, Canada",85
202,CA,Montreal,Comfort Inn,"2055 Auto. des Laurentides, Laval, Quebec, Canada",110
203,CA,Montreal,Hyatt Place Montreal – Downtown,"1415, Rue Saint-Hubert, Montreal, Quebec, Canada",79
204,CA,Montreal,Le Manoir d'Auteuil,"49, rue d'Auteuil, Quebec City, Quebec, Canada",2156
205,CA,Montreal,Fiddler Lake Resort,"1000, Road 329, Milles Isles, Quebec, Canada",634
206,CA,Montreal,Apart Hotel Montreal,"2115 Rue Saint-Urbain, Montreal, Quebec, Canada",13
207,CA,Montreal,Fox Motor Inn,"297 Dundas St W, Napanee, Lennox and Addington County, Ontario, Canada",348
208,CA,Montreal,C C Cherrier,"522 Rue Cherrier, Montreal, Quebec, Canada",17
209,CA,Montreal,All Suite VIP Loft Montreal,"1099 St Denis Street, Montreal, Quebec, Canada",59
210,CA,Montreal,Auberge de Jeunesse Maeva Montreal,"3990, rue St-Hubert, Montreal, Quebec, Canada",35
211,CA,Montreal,Auberge Du Plateau,"185 Rue Sherbrooke E, Montreal, Quebec, Canada",250
