Index,Country,City,Hotel,Address,Popularity
143,CA,Toronto,Courtyard by Marriott Toronto Airport,"231 Carlingview Drive, Toronto, Ontario, Canada",437
144,CA,Toronto,Sandman Signature Mississauga Hotel,"5400 Dixie Rd, Mississauga, Ontario, Canada",775
145,CA,Toronto,Toronto Plaza Airport Hotel,"1677 Wilson Ave, Toronto, Ontario, Canada",371
146,CA,Toronto,Monte Carlo Inn Vaughan Suites,"705 Applewood Cres, Vaughan, Ontario, Canada",821
147,CA,Toronto,Best Western Plus Burlington Inn & Suites,"2412 Queensway Dr, Burlington, Ontario, Canada",529
148,CA,Toronto,Delta Hotels by Marriott Kingston Waterfront,"1 Johnson St, Kingston, Ontario, Canada",758
149,CA,Toronto,Making Waves Boatel,"539 Queens Quay W, Toronto, Ontario, Canada",236
150,CA,Toronto,Toronto North Cookstown KOA,"139 Reive Blvd, Innisfil, Ontario, Canada",62
151,CA,Toronto,Howard Johnson by Wyndham Toronto Downtown West,"14 Roncesvalles Ave, Toronto, Ontario, Canada",443
152,CA,Toronto,Knights Inn Toronto East,"22 Metropolitan Rd, Toronto, Ontario, Canada",528
153,CA,Toronto,Courtyard by Marriott Kingston Highway 401 / Division Street,"103 Dalton Ave, Kingston, Ontario, Canada",693
154,CA,Toronto,Quality Inn Airport West,"50 Britannia Rd E, Mississauga, Ontario, Canada",386
155,CA,Toronto,Planet Traveler Hostel,"357 College St, Toronto, Ontario, Canada",443
156,CA,Toronto,The Anndore House,"15 Charles St E, Toronto, Ontario, Canada",457
157,CA,Toronto,Element Vaughan Southwest,"6170 Highway 7, Vaughan, Ontario, Canada",386
158,CA,Toronto,Toronto Marriott Markham,"170 Enterprise Blvd, Markham, Ontario, Canada",142
159,CA,Toronto,The Briars Resort & Spa,"55 Hedge Rd, Jacksons Point, Georgina, Ontario, Canada",634
160,CA,Toronto,Quality Hotel Burlington,"950 Walker's Line, Burlington, Ontario, Canada",491
161,CA,Toronto,Best Western Parkway Inn & Conference Centre,"1515 Vincent Massey Dr, Cornwall, Ontario, Canada",1151
162,CA,Toronto,Liberty Suites Hotel,"7191 Yonge Street, Thornhill, Vaughan, Ontario, Canada",305
163,CA,Toronto,"Holiday Inn Express & Suites Toronto-Mississauga, an IHG hotel","40 Admiral Blvd, Mississauga, Ontario, Canada",183
164,CA,Toronto,Knights Inn Toronto Scarborough,"4694 Kingston Rd, Toronto, Ontario, Canada",239
165,CA,Toronto,Best Western Voyageur Place Hotel,"17565 Yonge St, Newmarket, Ontario, Canada",571
166,CA,Toronto,Sandman Hotel Oakville,"3451 South Service Rd W, Oakville, Ontario, Canada",752
167,CA,Toronto,"Holiday Inn Express & Suites Vaughan-Southwest, an IHG Hotel","6100 Hwy 7, Vaughan, Ontario, Canada",343
168,CA,Toronto,Admiral Inn & Suites,"2161 North Sheridan Way, Mississauga, Ontario, Canada",414
169,CA,Toronto,"Holiday Inn Oakville (Centre), an IHG Hotel","590 Argus Road, Oakville, Ontario, Canada",403
170,CA,Toronto,Residence Inn by Marriott Mississauga-Airport Corporate Centre West,"5070 Creekbank Rd., Mississauga, Ontario, Canada",309
171,CA,Toronto,"Holiday Inn Mississauga Toronto West, an IHG Hotel","100 Britannia Rd E, Mississauga, Ontario, Canada",147
172,CA,Toronto,"The Saint James Hotel, Ascend Hotel Collection","26 Gerrard St E, Toronto, Ontario, Canada",472
173,CA,Toronto,Novotel Toronto Centre,"45 The Esplanade, Toronto, Ontario, Canada",511
174,CA,Toronto,The Westin Toronto Airport,"950 Dixon Rd, Toronto, Ontario, Canada",411
175,CA,Toronto,Super 8 by Wyndham Mississauga,"6625 Kennedy Rd, Mississauga, Ontario, Canada",471
176,CA,Toronto,The Yorkville Royal Sonesta Hotel Toronto,"220 Bloor Street West, Toronto, Ontario, Canada",333
177,CA,Toronto,Travelodge Toronto East,"20 Milner Business Court, Toronto, Ontario, Canada",367
178,CA,Toronto,Canadas Best Value Inn Richmond Hill Toronto N,"13100 Yonge Street, Richmond Hill, Ontario, Canada",36
179,CA,Toronto,Glenerin Inn & Spa,"1695 The Collegeway, Mississauga, Ontario, Canada",360
180,CA,Toronto,Residence Inn by Marriott Toronto Airport,"17 Reading Crt, Toronto, Ontario, Canada",431
